addr,site_id,src,kind,kind_idx,object,rw,lock,marker,func,note
000002F4,0,actst,marker,0,,,,enter,rv_t000,transaction entry
00000300,1,actst,data,0,ring_head,r,,,rv_t000,producer head / consumer view
00000308,2,actst,data,1,ring_tail,r,,,rv_t000,consumer tail / producer view
0000033C,3,actst,data,2,ring_slot,w,,,rv_t000,slot payload
00000340,4,actst,data,3,ring_head,w,,,rv_t000,own index advance
0000034C,5,actst,data,4,private,r,,,rv_t000,core-local scratch
00000354,6,actst,data,5,private,w,,,rv_t000,core-local scratch
0000030C,7,actst,marker,1,,,,phase,rv_t000,ring phase marker
00000360,8,actst,data,6,seq,w,,,rv_t000,sequence stamp
00000364,9,actst,marker,2,,,,leave,rv_t000,transaction exit
000003C0,10,actcap,value,0,,,,,rv_t000,ring index at run time
000003EC,11,actcap,value,1,,,,,rv_t000,account value at run time
0000043C,12,actst,marker,3,,,,enter,rv_t001,transaction entry
00000448,13,actst,data,7,ring_head,r,,,rv_t001,producer head / consumer view
00000450,14,actst,data,8,ring_tail,r,,,rv_t001,consumer tail / producer view
00000488,15,actst,data,9,ring_slot,w,,,rv_t001,slot payload
0000048C,16,actst,data,10,ring_head,w,,,rv_t001,own index advance
00000498,17,actst,data,11,private,r,,,rv_t001,core-local scratch
000004A0,18,actst,data,12,private,w,,,rv_t001,core-local scratch
00000454,19,actst,marker,4,,,,phase,rv_t001,ring phase marker
000004AC,20,actst,data,13,seq,w,,,rv_t001,sequence stamp
000004B0,21,actst,marker,5,,,,leave,rv_t001,transaction exit
00000504,22,actst,marker,6,,,,enter,rv_t002,transaction entry
00000510,23,actst,data,14,ring_head,r,,,rv_t002,producer head / consumer view
00000518,24,actst,data,15,ring_tail,r,,,rv_t002,consumer tail / producer view
00000550,25,actst,data,16,ring_slot,w,,,rv_t002,slot payload
00000554,26,actst,data,17,ring_head,w,,,rv_t002,own index advance
00000560,27,actst,data,18,private,r,,,rv_t002,core-local scratch
00000568,28,actst,data,19,private,w,,,rv_t002,core-local scratch
0000051C,29,actst,marker,7,,,,phase,rv_t002,ring phase marker
00000574,30,actst,data,20,seq,w,,,rv_t002,sequence stamp
00000578,31,actst,marker,8,,,,leave,rv_t002,transaction exit
000005B8,32,actst,marker,9,,,,enter,rv_t003,transaction entry
000005C8,33,actst,sync,0,,,0,,rv_t003,Peterson: announce intent
000005E8,34,actst,sync,1,,,0,,rv_t003,Peterson: critical section entered
0000061C,35,actst,data,21,balance,r,,,rv_t003,read-modify-write; read half
00000624,36,actst,data,22,balance,w,,,rv_t003,read-modify-write; write half
